# 微头条发布台账（查重唯一依据 · 每次发布成功/失败都追加）
# 格式: YYYY-MM-DD HH:MM | 主题关键词 | 发布状态 | 首句摘要
# 查重规则: 同主题/同事件/同角度 = 重复，不选；仅事件有实质新进展才算增量

2026-08-29 18:06 | 鲍师傅外卖吃出蟑螂幼虫（深圳海岸城店退款27拒千元） | 已发布（审核中） | 深圳一姑娘点鲍师傅外卖 吃出蟑螂幼虫 门店只退27块 千元赔偿一分不给
2026-08-29 20:07 | 老人花300元跟团游被忽悠买房（常州70岁姜先生烟台看房团） | 发布成功（审核中） | 常州70岁的姜先生 花300块带老伴去烟台看房旅行团 被忽悠签认购书 10万养老金押进烟台海景房 还欠35万
2026-09-01 23:01 | 深圳校服封神（全市统一/商超可买/一套不足百元/校服垄断） | 已发布（审核中） | 35块一条纯棉校裤 超市直接买 还能叫外卖送到家 这是深圳校服
2026-09-02 08:08 | 珠宝假证书230万张/市场监管总局打假清源/井某某判三年/无需送样不检包过/消费避坑 | 已发布（审核中） | 买珠宝的时候，你盯着那张鉴定证书看半天，怕买到假的？告诉你个更扎心的：证书本身，可能也是假的。
2026-09-02 10:07 | 手机集体涨价（华为小米荣耀9月1日调价/内存芯片涨价/等等党） | 已发布（审核中） | 9月1号一早，手机圈集体涨价。华为、小米、荣耀一块儿调价，涨200到1000块。
2026-09-02 12:10 | 苹果新CEO特努斯入驻微博（你好吸粉2.7万/年薪5800万美元/头像马赛克） | 已发布（审核中） | 库克退休的头一天晚上，苹果新CEO特努斯干了件事：入驻微博，发了条帖子，俩字——"你好"。
2026-09-02 14:12 | 抖音推荐算法失忆（#抖音推荐难看#/#误入中老年频道#/信息茧房/月活10.29亿/点不感兴趣照样推） | 已发布（审核中） | 平时总骂算法太懂我，今天算法一"失忆"，全网都不适应了。
2026-09-02 16:18 | 绍兴葫芦娃爷爷（陈金敖/75岁/6元秧苗七葫芦/书圣故里/现实版葫芦兄弟） | 已发布（审核中） | 绍兴书圣故里有个75岁的老爷爷，6块钱的秧苗，种出七个葫芦，把自己种成了网红
2026-09-02 18:xx | 罗永浩吐槽车企AI大模型（新能源车机/豆包千问Kimi/特斯拉奔驰接入） | 已发布（审核中） | 罗永浩这次吐槽的，是新能源车企的AI大模型
2026-09-02 20:08 | 徐州12345被演唱会诉求打爆（TOP登陆少年/48795件/双人舞台整改与保留/饭圈刷屏控评/滥用政务热线） | 已发布（审核中） | 徐州12345热线，11天接了四万八千多条投诉，全冲着同一件事——一个男团在徐州开了四场演唱会
2026-09-03 08:05 | 幼儿园上午开学下午停办（陕西宝鸡金台区实验幼儿园/办学资质到期/5303元保教费退费） | 已发布（审核中） | 上午刚把孩子送进幼儿园，下午就接到通知：园没了，接孩子回家
2026-09-03 10:09 | 央视抽检保温杯造假（50款19不合格/重金属92%超标/锰超34倍/304钢印激光可伪造/201工业钢） | 已发布（审核中） | 你手里那个保温杯，杯底印个304，就敢天天泡枸杞了
2026-09-03 12:08 | 泰国取消60天免签砍回30天（9/15生效/中泰互免不受影响/数字游民受伤） | 已发布（审核中） | 泰国上热搜了，这回不是什么好消息。
2026-09-03 14:08 | 大叔2600元买空调发现8年前库存机（安徽肥西张先生/格力挂式空调/2018年11月生产/500元拆装费/消费坑） | 已发布（审核中） | 安徽肥西的张大叔，花2600块买了台格力挂式空调，装好一瞧生产日期：2018年11月
2026-09-03 16:10 | 充1000误到账2641万亿（不当得利/员工误把账号ID当充值金额/宁乡法院判返还25.2万） | 已发布（审核中） | 充1000块，到账2641万亿。这事真发生在湖南宁乡
2026-09-03 18:10 | 微信单删提示（好友上限1万/腾讯客服回应/暂不支持批量查看单删/公关总监整理关系出口） | 已发布（审核中） | 你微信里有没有那种人：发消息过去，蹦出来一句"对方开启了朋友验证"？就为这事，今天"单删提示"上了热搜第一。
